CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
167	856	7	0.8182	495.331
356	869	7	0.914	494.324
859	1034	7	0.8788	2.019
167	363	7	0.8859	-423.330
165	468	7	0.9103	-28.031
390	395	7	0.9797	54.994
664	687	7	0.8849	6.051
589	679	7	0.921	42.044
389	395	7	0.9516	78.992
480	869	7	0.8888	94.994
693	904	7	0.8476	192.204
389	879	7	0.8723	-148.973
461	826	7	0.9659	3.996
221	922	7	0.8918	24.001
1033	1035	7	0.9084	-100.032
221	673	7	0.9058	-5.951
1035	1037	7	0.9068	101.041
594	922	7	0.8768	-18.046
569	1035	7	0.787	-68.216
594	673	7	0.9046	-47.998
363	687	7	0.9031	417.284
369	849	7	0.8031	21.989
363	869	7	0.9078	-1.007
387	403	7	0.8346	26.012
176	461	7	0.9589	29.989
518	664	7	0.807	-483.429
326	849	7	0.9034	26.020
730	1033	7	0.8092	-60.031
518	687	7	0.8138	-477.378
390	1035	7	0.9084	-182.046
354	554	7	0.9752	-2.015
48	597	7	0.9506	-18.010
389	390	7	0.9569	23.998
354	461	7	0.9691	10.020
1033	1034	7	0.7873	-97.005
167	820	7	0.9072	-23.997
276	756	7	0.9346	42.048
326	1034	7	0.7858	-28.029
554	597	7	0.9557	12.036
48	354	7	0.9896	-28.031
687	820	7	0.8647	-17.951
787	869	7	0.8979	111.119
563	826	7	0.9425	2.016
589	594	7	0.9041	66.046
730	1035	7	0.8279	-160.063
567	597	7	0.9175	-29.974
257	554	7	0.9725	-4.031
167	687	7	0.8862	-6.046
687	774	7	0.8024	-41.956
479	679	7	0.842	66.045
879	1035	7	0.8949	-9.075
170	869	7	0.8854	-496.335
170	488	7	0.82	445.316
589	784	7	0.8884	-48.003
395	1033	7	0.8762	-137.009
180	230	7	0.973	-26.016
230	597	7	0.9186	-31.990
387	859	7	0.8904	-52.036
563	597	7	0.9095	-1.979
221	589	7	0.9227	-23.999
159	390	7	0.8827	-469.462
176	354	7	0.98	19.969
395	1035	7	0.9065	-237.041
363	820	7	0.8447	399.333
727	1037	7	0.8825	-4.033
479	784	7	0.885	-24.002
480	943	7	0.9217	-17.130
687	869	7	0.8657	-418.290
774	943	7	0.8077	-488.458
354	826	7	0.9728	14.016
167	664	7	0.8759	-12.097
594	679	7	0.9859	-24.001
389	730	7	0.8623	2.015
461	554	7	0.9697	-12.036
389	1033	7	0.9232	-58.016
206	856	7	0.8034	-24.001
461	597	7	0.9563	0.000
363	787	7	0.9224	-112.126
159	634	7	0.903	-26.015
159	395	7	0.8811	-414.467
48	554	7	0.9685	-30.046
589	673	7	0.9541	18.048
389	727	7	0.8698	-52.975
159	922	7	0.8914	-23.998
510	634	7	0.8994	469.310
774	820	7	0.8107	24.005
390	1037	7	0.8766	-81.006
727	1035	7	0.892	-105.073
389	1037	7	0.9298	-57.008
89	170	7	0.9375	-495.334
339	489	8	0.9249	2.016
339	576	8	0.9695	28.031
489	576	8	0.9294	26.016
714	717	9	0.7245	2.015
717	921	9	0.7179	432.283
714	921	9	0.8094	434.298
121	314	10	0.9908	-6.046
886	1046	10	0.9914	-0.000
314	886	10	0.9921	28.030
775	816	10	0.9891	-42.047
143	376	10	0.9932	-26.015
143	816	10	0.9923	-14.015
69	1046	10	0.9906	-57.010
222	393	10	0.9919	-2.016
132	886	10	0.9949	-0.001
121	373	10	0.9912	-28.029
108	317	10	0.9944	-26.013
98	121	10	0.9912	-0.001
143	222	10	0.9907	-54.047
132	393	10	0.9913	28.977
174	816	10	0.991	-16.031
222	775	10	0.9872	82.078
132	890	10	0.9914	26.014
376	1046	10	0.9884	-59.026
174	376	10	0.9928	-28.031
69	222	10	0.9917	-26.016
108	314	10	0.9929	-2.015
98	150	10	0.9901	-24.001
263	317	10	0.9899	1.071
121	317	10	0.9919	-30.044
69	174	10	0.9936	30.047
55	108	10	0.9928	-28.030
132	314	10	0.9917	-28.031
150	317	10	0.9918	-6.045
373	1039	10	0.9758	42.003
376	775	10	0.9886	54.047
85	317	10	0.9905	-2.016
376	816	10	0.9911	12.000
132	1046	10	0.9913	-0.002
121	150	10	0.9948	-23.999
55	121	10	0.9921	-24.000
314	317	10	0.9934	-23.998
376	393	10	0.992	-30.047
150	886	10	0.9914	45.983
393	886	10	0.9927	-28.978
402	1039	10	0.9722	47.106
69	775	10	0.9907	56.063
69	393	10	0.9962	-28.031
55	150	10	0.992	-47.999
98	373	10	0.9904	-28.030
55	132	10	0.993	-2.014
69	886	10	0.9937	-57.010
55	890	10	0.9895	23.999
85	121	10	0.9938	28.029
884	890	10	0.9889	38.015
55	317	10	0.9924	-54.044
132	143	10	0.9915	85.040
132	317	10	0.9912	-52.029
174	886	10	0.9914	-87.057
108	121	10	0.9934	4.031
108	150	10	0.9942	-19.969
393	775	10	0.9909	84.094
150	314	10	0.991	17.954
69	132	10	0.9927	-57.008
69	376	10	0.9944	2.016
143	886	10	0.9929	-85.041
884	1046	10	0.9901	12.000
55	884	10	0.9897	-14.016
222	376	10	0.9895	28.032
890	1046	10	0.9906	-26.015
393	816	10	0.992	42.047
55	886	10	0.9934	-2.016
143	775	10	0.9908	28.031
143	393	10	0.9946	-56.062
85	108	10	0.993	23.998
143	1046	10	0.9899	-85.041
222	316	10	0.987	-0.945
108	132	10	0.9904	26.016
174	222	10	0.991	-56.063
886	890	10	0.9923	26.015
222	816	10	0.9891	40.032
85	373	10	0.9893	-0.000
85	150	10	0.993	4.029
174	393	10	0.9933	-58.078
393	890	10	0.9902	-2.964
143	174	10	0.9939	2.016
108	263	10	0.9888	-27.084
85	98	10	0.9946	28.030
174	775	10	0.9907	26.016
69	816	10	0.9934	14.016
174	1046	10	0.9891	-87.057
522	816	10	0.9874	-28.031
55	314	10	0.9924	-30.045
69	143	10	0.997	28.031
314	884	10	0.9898	16.030
132	884	10	0.9904	-12.001
344	841	11	0.913	-0.499
406	412	12	0.7212	35.037
80	651	13	0.7961	-128.120
80	146	13	0.9085	-112.126
146	651	13	0.8635	-15.995
578	932	14	0.7726	-5.958
336	631	14	0.7997	-54.047
474	631	14	0.7234	-6.080
578	631	14	0.8398	15.995
79	332	14	0.9021	28.032
79	680	14	0.7695	-15.995
631	932	14	0.7769	-21.953
332	631	14	0.7703	-26.016
79	336	14	0.8964	56.063
474	578	14	0.7236	-22.075
120	157	14	0.8981	18.010
157	491	14	0.7241	0.000
474	764	14	0.7528	30.047
631	684	14	0.7022	108.130
515	680	14	0.7234	-24.073
680	932	14	0.7059	-3.942
79	578	14	0.7216	-13.980
79	631	14	0.7691	2.016
500	932	14	0.7474	-56.065
631	825	14	0.7185	-241.156
474	932	14	0.7692	-28.033
500	764	14	0.8539	2.015
332	578	14	0.7348	-42.012
157	332	14	0.7047	-84.129
441	680	14	0.7222	-126.141
157	336	14	0.702	-56.098
578	680	14	0.7295	-2.016
157	984	14	0.7338	-18.010
441	684	14	0.86	0.000
515	696	14	0.7742	17.027
441	578	14	0.7337	-124.125
336	578	14	0.7405	-70.043
336	680	14	0.7861	-72.058
120	984	14	0.7294	0.000
332	336	14	0.9714	28.031
764	932	14	0.7005	-58.080
680	825	14	0.7407	-223.145
474	500	14	0.8689	28.032
441	631	14	0.7463	-108.130
332	680	14	0.792	-44.027
631	680	14	0.8438	-18.011
1	862	15	0.8655	0.001
113	862	15	0.9921	0.000
862	967	15	0.8328	-41.027
282	967	15	0.8233	-121.043
5	967	15	0.931	-0.000
1	113	15	0.8567	0.001
5	862	15	0.7798	41.026
5	113	15	0.7564	41.026
113	967	15	0.8163	-41.027
307	562	16	0.8009	-57.958
436	805	16	0.7292	-79.940
226	805	16	0.9085	-57.959
226	436	16	0.8162	21.982
436	513	16	0.8601	-54.055
226	307	16	0.8136	-132.052
226	562	16	0.7494	-190.010
562	805	16	0.8109	132.052
307	436	16	0.7163	154.034
436	759	16	0.7555	0.827
74	427	17	0.7048	-427.358
74	246	17	0.8055	14.014
358	699	17	0.7226	1.980
74	699	17	0.8925	1.007
427	699	17	0.853	428.365
87	320	18	0.992	109.013
87	1007	18	0.9445	109.013
20	46	18	0.7035	-20.958
77	144	18	0.8684	-41.027
42	1007	18	0.9957	109.013
63	324	18	0.7388	2.001
